"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"50";"/org.eclipse.core.runtime/src/org/eclipse/core/runtime/QualifiedName.java";2;1;5;1;2;2;2;3;220;1;3;3013;448;448;1;0;0;3;5;3013;0;6340;5;2;NA
"51";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/dialogs/FileEditorMappingContentProvider.java";1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;NA
"52";"/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/bundle/BundlePluginModelBase.java";1;2;5;1;5;4;5;0;127;0;0;5445;155;155;2;0;1;0;5;5537;1;6336;4;1;NA
"53";"/org.eclipse.search/search/org/eclipse/search/internal/ui/text/SearchResultUpdater.java";2;1;2;1;2;2;2;0;4;0;0;5199;4;4;1;0;0;0;2;5199;0;6340;2;2;NA
"54";"/org.eclipse.ui.ide/src/org/eclipse/ui/internal/ide/dialogs/AboutFeaturesButtonManager.java";2;0;2;1;1;1;1;1;0;0;1;4936;0;0;1;0;0;1;2;4936;0;5483;2;2;NA
"55";"/org.eclipse.jdt.core.tests.model/workspace/Formatter/test025/A_out.java";1;0;1;1;0;0;0;1;0;0;1;2425;0;0;1;0;0;1;1;2425;0;2425;1;1;NA
"56";"/org.eclipse.team.ui/src/org/eclipse/team/internal/ui/widgets/IChangePreviewViewer.java";1;0;1;1;0;0;0;1;0;0;1;3280;0;0;1;0;0;1;1;3280;0;3280;1;1;NA
"57";"/org.eclipse.jdt.core.tests.model/workspace/Formatter/test302/A_out.java";1;0;1;1;0;0;0;1;0;0;1;2442;0;0;1;0;0;1;1;2442;0;2442;1;1;NA
"58";"/org.eclipse.jdt.ui/ui refactoring/org/eclipse/jdt/internal/ui/refactoring/RefactoringWizardDialog.java";1;0;1;1;0;0;0;1;0;0;1;4965;0;0;1;0;0;1;1;4965;0;4965;1;1;NA
"59";"/org.eclipse.team.core/src/org/eclipse/team/internal/core/VestigeXMLWriter.java";1;0;1;1;0;0;0;1;0;0;1;649;0;0;1;0;0;1;1;649;0;649;1;1;NA
"60";"/org.eclipse.team.cvs.core/src/org/eclipse/team/internal/ccvs/core/client/AbstractStructureVisitor.java";1;0;3;1;0;0;0;3;33;1;3;1173;48;48;1;0;0;3;3;1173;0;2461;3;1;NA
"61";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/spelling/engine/PersistentSpellDictionary.java";2;0;2;1;1;1;1;1;2;0;1;3930;2;2;1;0;0;1;2;3930;0;6340;2;2;NA
"62";"/org.eclipse.team.ftp/src/org/eclipse/team/internal/ftp/client/Util.java";1;0;2;1;1;1;1;1;2;0;1;4216;4;4;1;0;0;1;2;4216;0;6337;2;1;NA
"63";"/org.eclipse.jdt.core.tests.model/workspace/Converter/test0136/Test.java";1;0;1;1;0;0;0;1;0;0;1;3714;0;0;1;0;0;1;1;3714;0;3714;1;1;NA
"64";"/org.eclipse.jdt.core.tests.model/workspace/Formatter/test065/A_in.java";1;0;1;1;0;0;0;1;0;0;1;2425;0;0;1;0;0;1;1;2425;0;2425;1;1;NA
"65";"/org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/TarFileSet.java";1;1;3;1;3;3;3;0;10;0;0;5515;12;12;1;0;0;0;3;5515;0;6097;3;1;NA
"66";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/launcher/JUnitArgumentsTab.java";2;1;12;1;2;2;2;10;147;1;10;1459;469;469;1;0;0;10;12;1459;0;6336;12;2;NA
"67";"/org.eclipse.jdt.ui.tests.refactoring/resources/DeleteSourceReference/test14/in/A.java";1;0;1;1;0;0;0;1;0;0;1;1652;0;0;1;0;0;1;1;1652;0;1652;1;1;NA
"68";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/AddToVersionControlDialog.java";1;0;3;1;0;0;0;3;15;1;3;790;18;18;1;0;0;3;3;790;0;2381;3;1;NA
"69";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractMethodWorkSpace/ExtractMethodTests/locals_in/A_test560.java";1;0;1;1;0;0;0;1;2;0;1;844;2;2;1;0;0;1;1;844;0;844;1;1;NA
"70";"/org.eclipse.core.tests.resources/src/org/eclipse/core/tests/resources/perf/WorkspacePerformanceTest.java";1;0;2;1;2;1;2;0;23;0;0;5147;23;23;2;0;1;0;2;5147;1;5147;1;1;NA
"71";"/org.eclipse.core.tests.runtime/src/org/eclipse/core/tests/internal/runtimetests/SampleOFR.java";1;0;1;1;1;1;1;0;21;0;0;5149;21;21;1;0;0;0;1;5149;0;5149;1;1;NA
"72";"/org.eclipse.ui.externaltools/Ant Editor/org/eclipse/ui/externaltools/internal/ant/dtd/schema/Schema.java";1;0;2;1;0;0;0;2;9;1;2;245;9;9;1;0;0;2;2;245;0;282;2;1;NA
