"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"95";"org.eclipse.pde.internal.ui.editor.plugin.rows";0;0;5;0;0;0;0;5;140;0;1;3;140;0;2;1;0;2;2;3;1;3;1;0;0
"96";"org.eclipse.jdt.launching.sourcelookup.containers";0;0;5;0;0;0;1;4;10;0;1;1;10;0;2;1;0;2;2;1;1;1;1;0;0
"97";"org.eclipse.search2.internal.ui";2;0;6;2;2;1;2;4;43;0;0;50;43;46;2;0;1;0;2;50;1;50;1;3;1
"98";"org.eclipse.jdt.internal.ui.filters";0;0;4;0;0;0;1;3;3;0;1;19;3;40;2;1;0;2;2;19;1;19;1;3;0
"99";"org.eclipse.ui.wizards";1;0;5;1;0;0;1;4;0;0;1;31;0;13;2;1;0;2;2;31;1;31;1;3;0
"100";"org.eclipse.jdt.internal.corext.refactoring.typeconstraints.typesets";1;0;4;1;2;1;2;2;349;0;1;38;537;0;2;1;1;2;4;38;2;49;2;1;1
"101";"org.eclipse.jface.bindings.keys.formatting";0;0;6;0;0;0;0;6;0;0;1;25;0;0;2;1;0;2;2;25;1;25;1;0;0
"102";"org.eclipse.ui.internal.ide.misc";0;0;5;0;0;0;1;4;4511;2;2;2;4683;0;2;2;0;4;4;2;2;35;2;0;0
"103";"org.eclipse.pde.internal.ui.editor.plugin";1;0;7;1;0;0;0;7;67;0;1;12;67;537;2;1;0;2;2;12;1;12;1;2;0
"104";"org.eclipse.ui.internal.misc";1;0;6;1;0;0;0;6;1910;2;2;2;2061;201;2;2;0;4;4;2;2;34;2;3;1
"105";"org.eclipse.ui.internal.components.util";1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
"106";"org.eclipse.jdt.internal.corext.refactoring.structure";1;0;30;1;6;1;6;24;6348;6;5;1;13363;0;6;14;5;19;25;37;19;44;6;2;1
"107";"org.eclipse.jdt.internal.compiler.env";0;0;5;0;0;0;0;5;83;0;1;1;83;85;2;1;0;2;2;1;1;1;1;3;0
"108";"org.eclipse.help.search";0;0;5;0;0;0;1;4;0;0;1;31;0;0;2;1;0;2;2;31;1;31;1;0;0
"109";"org.eclipse.jdt.internal.compiler.lookup";0;0;9;0;0;0;1;8;5292;2;3;1;8313;29;2;3;0;6;6;1;3;37;3;5;53
"110";"org.eclipse.core.runtime.internal.stats";1;0;2;1;2;1;2;0;0;0;0;47;0;0;2;0;1;0;2;47;1;47;1;1;0
