"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"61";"org.eclipse.update.internal.search";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"62";"org.eclipse.jdt.internal.eval";0;0;8;0;0;0;0;8;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;17
"63";"org.eclipse.jdt.internal.debug.core";0;0;5;0;0;0;1;4;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
"64";"org.eclipse.pde.internal.ui.model.plugin";0;0;4;0;0;0;1;3;0;0;0;-1;0;12;0;0;0;0;0;-1;0;-1;0;2;0
"65";"org.eclipse.jdt.core.search";0;0;8;0;0;0;0;8;0;0;0;-1;0;9;0;2;0;0;0;-1;2;-1;0;2;1
"66";"org.eclipse.osgi.service.pluginconversion";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"67";"org.eclipse.jdt.internal.ui.preferences";0;0;20;0;0;0;2;18;61;0;1;12;61;414;6;9;0;6;6;12;9;12;1;5;12
"68";"org.eclipse.jdt.internal.debug.ui.breakpoints";0;0;9;0;0;0;3;6;0;0;0;-1;0;67;0;2;0;0;0;-1;2;-1;0;3;0
"69";"org.eclipse.pde.internal.core.plugin";0;0;12;0;0;0;2;10;0;0;0;-1;0;51;0;4;2;0;0;-1;6;-1;0;2;1
"70";"org.eclipse.ui.contentassist";0;0;7;0;0;0;4;3;0;0;0;-1;0;0;0;0;2;0;0;-1;2;-1;0;0;0
"71";"org.eclipse.jdt.internal.core.dom.rewrite";0;0;15;0;0;0;0;15;0;0;0;-1;0;772;0;7;0;0;0;-1;7;-1;0;4;2
"72";"org.eclipse.ui.themes";0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;1
"73";"org.eclipse.jdt.internal.ui.text.folding";0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;1;1;0;0;-1;2;-1;0;0;0
"74";"org.eclipse.jdt.internal.ui.refactoring.nls.search";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;1
"75";"org.eclipse.pde.internal.build.tasks";0;0;9;0;0;0;1;8;0;0;0;-1;0;0;0;4;0;0;0;-1;4;-1;0;0;0
"76";"org.eclipse.jdt.internal.corext.refactoring.structure.constraints";0;0;17;0;0;0;2;15;3236;9;2;154;5632;0;9;13;0;15;15;172;13;172;2;0;1
"77";"org.eclipse.ui.internal.texteditor.quickdiff.compare.rangedifferencer";0;0;8;0;0;0;2;6;0;0;0;-1;0;372;0;1;0;0;0;-1;1;-1;0;3;0
"78";"org.eclipse.jdt.internal.ui.refactoring.contentassist";0;0;12;0;0;0;2;10;0;0;0;-1;0;0;0;4;0;0;0;-1;4;-1;0;1;0
"79";"org.eclipse.pde.internal.ui.view";0;0;10;0;0;0;0;10;0;0;0;-1;0;6;0;5;0;0;0;-1;5;-1;0;2;0
"80";"org.eclipse.osgi.util";0;0;7;0;0;0;3;4;0;0;0;-1;0;0;0;2;1;0;0;-1;3;-1;0;0;1
"81";"org.eclipse.ui.texteditor.templates";0;0;6;0;0;0;1;5;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;1
"82";"org.eclipse.pde.internal.runtime.registry";0;0;4;0;0;0;0;4;0;0;0;-1;0;20;0;1;0;0;0;-1;1;-1;0;1;18
"83";"org.eclipse.core.runtime.jobs";0;0;8;0;0;0;2;6;0;0;0;-1;0;19;0;1;0;0;0;-1;1;-1;0;1;0
"84";"org.eclipse.ant.internal.ui.editor.formatter";0;0;5;0;0;0;1;4;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;1;0
"85";"org.eclipse.jdt.internal.ui.wizards.dialogfields";0;0;4;0;0;0;1;3;0;0;0;-1;0;19;0;0;0;0;0;-1;0;-1;0;3;0
"86";"org.eclipse.team.internal.ui.synchronize.actions";0;0;8;0;0;0;0;8;0;0;0;-1;0;391;0;5;0;0;0;-1;5;-1;0;2;0
