"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"57";"org.eclipse.jdt.internal.codeassist.select";2;0;6;1;0;0;0;6;238;1;6;25;576;34;1;0;0;6;6;25;0;3136;6;3;NA
"58";"org.eclipse.ui.forms.widgets";1;1;12;1;3;3;3;9;300;2;7;492;945;585;2;2;0;9;12;492;2;4853;10;1;NA
"59";"org.eclipse.team.internal.ui.registry";1;0;4;1;0;0;0;4;24;2;3;523;41;19;2;1;0;4;4;523;1;3129;3;1;NA
"60";"org.eclipse.help";2;0;3;1;0;0;0;3;44;1;3;2449;47;13;1;0;0;3;3;2449;0;3147;3;2;NA
"61";"org.eclipse.update.internal.search";0;0;3;0;0;0;0;3;36;2;2;771;48;0;2;1;0;3;3;771;1;3240;2;0;NA
"62";"org.eclipse.jdt.internal.eval";0;0;11;0;0;0;0;11;625;3;7;60;1437;0;3;4;0;11;11;2088;4;3767;7;0;NA
"63";"org.eclipse.jdt.internal.debug.core";0;0;5;0;1;1;1;4;40;1;4;773;101;0;1;0;0;4;5;773;0;4850;5;0;NA
"64";"org.eclipse.pde.internal.ui.model.plugin";1;0;4;1;1;1;1;3;132;1;3;1861;201;12;1;0;0;3;4;1861;0;4558;4;2;NA
"65";"org.eclipse.jdt.core.search";1;0;8;1;0;0;0;8;333;1;8;60;768;9;1;0;0;8;8;60;0;3538;8;2;NA
"66";"org.eclipse.osgi.service.pluginconversion";0;0;3;0;1;1;1;2;31;1;2;1957;40;0;1;0;0;2;3;1957;0;4663;3;0;NA
"67";"org.eclipse.jdt.internal.ui.preferences";4;1;20;1;2;2;2;18;2039;2;16;181;4684;414;2;2;0;18;20;229;2;4643;18;5;NA
"68";"org.eclipse.jdt.internal.debug.ui.breakpoints";3;1;9;1;3;3;3;6;954;1;6;1949;1214;67;1;0;0;6;9;1949;0;4618;9;3;NA
"69";"org.eclipse.pde.internal.core.plugin";2;1;13;1;2;2;2;11;1002;2;10;924;1731;51;2;1;0;11;13;1828;1;4264;12;2;NA
"70";"org.eclipse.ui.contentassist";0;1;7;0;3;3;3;4;68;1;4;1786;136;0;1;0;0;4;7;1786;0;5012;7;0;NA
"71";"org.eclipse.jdt.internal.core.dom.rewrite";1;0;20;1;0;0;0;20;805;2;15;60;1632;772;2;5;0;20;20;60;5;3424;15;4;NA
"72";"org.eclipse.ui.themes";0;0;3;0;0;0;0;3;173;2;2;123;213;0;2;1;0;3;3;123;1;3189;2;0;NA
"73";"org.eclipse.jdt.internal.ui.text.folding";0;0;6;0;1;1;1;5;366;2;4;2813;563;0;2;1;0;5;6;2813;1;5012;5;0;NA
"74";"org.eclipse.jdt.internal.ui.refactoring.nls.search";0;0;3;0;1;1;1;2;96;1;2;554;112;0;1;0;0;2;3;554;0;5012;3;0;NA
"75";"org.eclipse.pde.internal.build.tasks";0;0;9;0;0;0;0;9;134;2;7;667;278;0;2;2;0;9;9;667;2;4035;7;0;NA
"76";"org.eclipse.jdt.internal.corext.refactoring.structure.constraints";0;1;21;0;2;2;2;19;1407;2;14;2791;5285;0;2;5;0;19;21;2791;5;4713;16;0;NA
"77";"org.eclipse.ui.internal.texteditor.quickdiff.compare.rangedifferencer";3;0;9;1;1;1;1;8;392;2;7;83;617;372;2;1;0;8;9;279;1;5012;8;3;NA
"78";"org.eclipse.jdt.internal.ui.refactoring.contentassist";1;1;12;1;2;2;2;10;110;1;10;1496;422;0;1;0;0;10;12;1496;0;4844;12;1;NA
"79";"org.eclipse.pde.internal.ui.view";2;0;11;1;0;0;0;11;574;2;10;406;1447;6;2;1;0;11;11;1825;1;3149;10;2;NA
"80";"org.eclipse.osgi.util";0;2;8;0;4;3;4;4;172;1;4;2506;394;0;2;0;1;4;8;4218;1;4626;7;0;NA
"81";"org.eclipse.ui.texteditor.templates";0;0;6;0;0;0;0;6;576;1;6;1194;680;0;1;0;0;6;6;1194;0;4031;6;0;NA
"82";"org.eclipse.pde.internal.runtime.registry";1;0;3;1;0;0;0;3;142;1;3;1117;261;20;1;0;0;3;3;1117;0;3868;3;1;NA
"83";"org.eclipse.core.runtime.jobs";1;1;8;1;2;2;2;6;159;1;6;392;233;19;1;0;0;6;8;392;0;4873;8;1;NA
"84";"org.eclipse.ant.internal.ui.editor.formatter";1;0;6;1;1;1;1;5;39;2;4;790;122;10;2;1;0;5;6;2840;1;4568;5;1;NA
"85";"org.eclipse.jdt.internal.ui.wizards.dialogfields";2;0;4;1;1;1;1;3;120;1;3;685;155;19;1;0;0;3;4;685;0;5012;4;3;NA
"86";"org.eclipse.team.internal.ui.synchronize.actions";1;0;9;1;0;0;0;9;254;2;8;473;691;391;2;1;0;9;9;630;1;3129;8;2;NA
"87";"org.eclipse.help.internal.search";0;0;7;0;0;0;0;7;153;1;7;351;352;12;1;0;0;7;7;351;0;4045;7;2;NA
"88";"org.eclipse.ui.internal.browser";3;0;8;1;1;1;1;7;626;2;5;3575;798;66;2;2;0;7;8;3575;2;4710;6;3;NA
"89";"org.eclipse.team.internal.ui";0;0;7;0;0;0;0;7;257;2;6;523;463;0;2;1;0;7;7;523;1;3799;6;0;NA
"90";"org.eclipse.help.browser";0;0;1;0;0;0;0;1;4;0;1;3147;4;0;1;0;0;1;1;3147;0;3147;1;0;NA
"91";"org.eclipse.debug.ui.sourcelookup";0;0;4;0;0;0;0;4;40;1;4;1880;54;0;1;0;0;4;4;1880;0;3835;4;0;NA
"92";"org.eclipse.ui.internal.commands";0;0;10;0;0;0;0;10;1138;2;9;123;1703;0;2;1;0;10;10;3254;1;3584;9;0;NA
"93";"org.eclipse.team.internal.core";1;0;7;1;0;0;0;7;152;2;6;518;417;22;2;1;0;7;7;518;1;3129;6;1;NA
"94";"org.eclipse.ui.internal.part.components.services";1;0;2;1;0;0;0;2;0;0;1;3505;0;0;2;1;0;2;2;3505;1;3505;1;1;NA
"95";"org.eclipse.pde.internal.ui.editor.plugin.rows";0;0;6;0;0;0;0;6;94;2;5;167;254;0;2;1;0;6;6;167;1;3149;5;0;NA
"96";"org.eclipse.jdt.launching.sourcelookup.containers";0;1;7;0;2;2;2;5;40;2;4;40;70;0;2;1;0;5;7;40;1;4777;6;0;NA
"97";"org.eclipse.search2.internal.ui";3;1;6;1;2;2;2;4;175;1;4;1526;445;46;1;0;0;4;6;1526;0;5012;6;3;NA
"98";"org.eclipse.jdt.internal.ui.filters";2;0;4;1;1;1;1;3;178;2;2;1541;221;40;2;1;0;3;4;1541;1;5012;3;3;NA
"99";"org.eclipse.ui.wizards";3;0;5;1;1;1;1;4;25;2;3;2715;51;13;2;1;0;4;5;2715;1;4393;4;3;NA
"100";"org.eclipse.jdt.internal.corext.refactoring.typeconstraints.typesets";1;1;5;1;2;2;2;3;349;0;1;3491;523;0;3;2;0;3;5;3491;2;4846;3;1;NA
"101";"org.eclipse.jface.bindings.keys.formatting";0;0;8;0;0;0;0;8;506;2;7;2166;916;0;2;1;0;8;8;2166;1;4016;7;0;NA
"102";"org.eclipse.ui.internal.ide.misc";0;0;5;0;1;1;1;4;4511;2;3;123;4687;0;2;1;0;4;5;123;1;4975;4;0;NA
"103";"org.eclipse.pde.internal.ui.editor.plugin";2;0;7;1;0;0;0;7;417;1;7;180;1022;537;1;0;0;7;7;180;0;3867;7;2;NA
"104";"org.eclipse.ui.internal.misc";1;0;6;1;0;0;0;6;1910;2;5;123;2058;201;2;1;0;6;6;123;1;3189;5;3;NA
"105";"org.eclipse.ui.internal.components.util";1;0;2;1;0;0;0;2;0;0;1;3505;0;0;2;1;0;2;2;3505;1;3505;1;1;NA
"106";"org.eclipse.jdt.internal.corext.refactoring.structure";1;2;41;1;7;6;7;34;1280;2;32;38;7922;0;2;2;1;34;41;2141;3;4713;38;2;NA
"107";"org.eclipse.jdt.internal.compiler.env";1;0;5;1;0;0;0;5;130;2;4;60;224;85;2;1;0;5;5;60;1;3136;4;3;NA
"108";"org.eclipse.help.search";0;1;6;0;2;2;2;4;51;2;3;2735;76;0;2;1;0;4;6;2735;1;4225;5;0;NA
"109";"org.eclipse.jdt.internal.compiler.lookup";1;0;8;1;1;1;1;7;5152;2;6;60;6739;29;2;1;0;7;8;60;1;4564;7;5;NA
"110";"org.eclipse.core.runtime.internal.stats";1;0;2;1;2;1;2;0;0;0;0;4504;0;0;2;0;1;0;2;4504;1;4504;1;1;NA
"111";"org.eclipse.help.internal.model";0;0;2;0;0;0;0;2;32;0;1;3147;32;0;2;1;0;2;2;3147;1;3147;1;0;NA
"112";"org.eclipse.jdt.internal.compiler.util";2;0;5;1;0;0;0;5;216;1;5;262;357;8;1;0;0;5;5;262;0;3136;5;2;NA
"113";"org.eclipse.core.internal.refresh";0;0;9;0;1;1;1;8;122;2;7;664;253;0;2;1;0;8;9;2556;1;4495;8;0;NA
"114";"org.eclipse.help.internal.webapp.servlet";0;0;6;0;1;1;1;5;62;1;5;55;139;0;1;0;0;5;6;55;0;4178;6;0;NA
"115";"org.eclipse.jdt.internal.ui.typehierarchy";2;0;4;1;0;0;0;4;254;1;4;1749;319;56;1;0;0;4;4;1749;0;3184;4;3;NA
"116";"org.eclipse.ant.internal.ui.editor.actions";1;2;22;1;3;2;3;19;100;3;14;1149;458;45;3;5;1;19;22;2361;6;4279;16;1;NA
"117";"org.eclipse.update.internal.configurator";2;0;4;1;0;0;0;4;208;2;3;368;367;65;2;1;0;4;4;368;1;3240;3;2;NA
"118";"org.eclipse.ui.internal.progress";1;0;7;1;0;0;0;7;15386;2;6;123;16700;188;2;1;0;7;7;123;1;3189;6;1;NA
"119";"org.eclipse.jdt.internal.junit.ui";3;0;9;1;1;1;1;8;315;3;6;419;578;102;3;2;0;8;9;713;2;5012;7;4;NA
"120";"org.eclipse.debug.ui.memory";2;0;6;1;0;0;0;6;565;2;4;2425;701;91;2;2;0;6;6;2425;2;3536;4;3;NA
"121";"org.eclipse.ant.internal.ui.views.actions";0;0;7;0;0;0;0;7;152;1;7;754;530;0;1;0;0;7;7;754;0;3861;7;0;NA
"122";"org.eclipse.jdt.internal.compiler.problem";1;1;16;1;2;2;2;14;1193;5;8;60;2457;8;5;6;0;14;16;72;6;4338;10;1;NA
"123";"org.eclipse.jdt.internal.debug.core.refactoring";2;0;4;1;0;0;0;4;142;2;3;960;232;26;2;1;0;4;4;960;1;3835;3;2;NA
"124";"org.eclipse.ui.branding";0;0;2;0;0;0;0;2;76;1;2;123;86;0;1;0;0;2;2;123;0;3189;2;0;NA
"125";"org.eclipse.search.ui.text";2;0;4;1;0;0;0;4;56;1;4;278;73;23;1;0;0;4;4;278;0;3168;4;3;NA
"126";"org.eclipse.ui.editors.text";0;0;6;0;1;1;1;5;1420;1;5;609;1741;0;1;0;0;5;6;609;0;5012;6;0;NA
"127";"org.eclipse.ui.internal.actions";3;0;7;1;0;0;0;7;385;2;6;123;557;159;2;1;0;7;7;123;1;3189;6;3;NA
"128";"org.eclipse.ui.wizards.newresource";0;0;8;0;1;1;1;7;1248;2;6;123;1410;0;2;1;0;7;8;123;1;4975;7;0;NA
"129";"org.eclipse.core.internal.resources.mapping";1;0;3;1;1;1;1;2;6;1;2;2818;7;0;1;0;0;2;3;2818;0;4280;3;1;NA
"130";"org.eclipse.ui.ide.dialogs";1;1;7;1;2;2;2;5;94;2;4;953;164;2;2;1;0;5;7;953;1;4975;6;2;NA
"131";"org.eclipse.jface.text.templates";0;1;8;0;2;2;2;6;626;1;6;417;902;0;1;0;0;6;8;417;0;5049;8;0;NA
"132";"org.eclipse.jdi.internal.spy";1;0;4;1;0;0;0;4;60;2;3;42;77;8;2;1;0;4;4;42;1;3163;3;1;NA
"133";"org.eclipse.jface.action";1;0;3;1;0;0;0;3;12930;2;2;123;13278;1129;2;1;0;3;3;123;1;3189;2;3;NA
"134";"org.eclipse.pde.internal.core.ifeature";1;0;3;1;0;0;0;3;102;1;3;2670;156;14;1;0;0;3;3;2670;0;3149;3;1;NA
"135";"org.eclipse.ui.texteditor.spelling";2;0;9;1;1;1;1;8;84;3;6;2086;200;42;3;2;0;8;9;2086;2;5012;7;2;NA
"136";"org.eclipse.team.internal.core.streams";1;0;2;1;0;0;0;2;42;0;1;3129;42;6;2;1;0;2;2;3129;1;3129;1;1;NA
"137";"org.eclipse.team.internal.ccvs.ui.operations";1;0;14;1;0;0;0;14;740;3;12;534;1914;208;3;2;0;14;14;534;2;3501;12;1;NA
"138";"org.eclipse.jdt.internal.compiler";0;0;7;0;0;0;0;7;1796;2;6;60;4196;0;2;1;0;7;7;60;1;3136;6;0;NA
"139";"org.eclipse.jdt.internal.codeassist";0;0;9;0;1;1;1;8;695;2;7;60;1773;0;2;1;0;8;9;60;1;4515;8;0;NA
"140";"org.eclipse.swt.internal.carbon";1;1;30;1;7;7;7;23;41;1;23;413;186;0;1;0;0;23;30;413;0;4896;30;1;NA
"141";"org.eclipse.ui.internal.ide.update";2;0;3;1;0;0;0;3;85;1;3;123;100;100;1;0;0;3;3;123;0;3189;3;2;NA
"142";"org.eclipse.update.internal.ui.model";0;0;7;0;0;0;0;7;142;2;6;958;233;0;2;1;0;7;7;958;1;3240;6;0;NA
"143";"com.sun.jdi";2;0;3;1;0;0;0;3;548;2;2;355;632;160;2;1;0;3;3;355;1;3163;2;3;NA
"144";"org.eclipse.jface.viewers.deferred";0;0;4;0;0;0;0;4;108;2;3;2783;194;0;2;1;0;4;4;2783;1;3652;3;0;NA
"145";"org.eclipse.ui.texteditor.quickdiff";0;0;7;0;1;1;1;6;86;1;6;1786;136;0;1;0;0;6;7;1786;0;5012;7;0;NA
"146";"org.eclipse.swt.internal.motif";1;0;15;1;0;0;0;15;3754;2;13;413;5691;62;2;2;0;15;15;1251;2;3223;13;2;NA
"147";"org.eclipse.core.internal.model";1;0;5;1;0;0;0;5;142;3;3;2555;180;8;3;2;0;5;5;2555;2;3111;3;1;NA
"148";"org.eclipse.ant.internal.core";1;0;3;1;0;0;0;3;52;1;3;598;56;39;1;0;0;3;3;598;0;3144;3;1;NA
"149";"org.eclipse.swt.internal.ole.win32";2;0;4;1;0;0;0;4;627;1;4;285;1011;105;1;0;0;4;4;285;0;3223;4;2;NA
"150";"org.eclipse.update.internal.ui";0;1;9;0;4;4;4;5;162;1;5;574;321;0;1;0;0;5;9;574;0;4955;9;0;NA
