filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.jdt.internal.ui.refactoring.contentassist;3;2;18;2;5;4;5;13;234;2;10;3648;758;422;2;3;1;13;18;3648;4;6340;14;3;
org.eclipse.pde.internal.ui.view;2;1;8;1;3;3;3;5;74;2;4;368;164;28;2;1;0;5;8;368;1;6336;7;2;
org.eclipse.ui.texteditor.templates;0;1;5;0;3;3;3;2;46;0;1;4627;78;0;2;1;0;2;5;4627;1;6340;4;0;
org.eclipse.pde.internal.runtime.registry;2;0;5;1;1;1;1;4;1177;1;4;831;2477;194;1;0;0;4;5;831;0;6336;5;2;
org.eclipse.core.runtime.jobs;0;1;24;0;5;5;5;19;2337;2;18;320;6259;0;2;1;0;19;24;320;1;5688;23;0;
org.eclipse.ant.internal.ui.editor.formatter;1;1;13;1;6;6;6;7;420;3;5;3916;1553;145;3;2;0;7;13;3916;2;5901;11;1;
org.eclipse.jdt.internal.ui.wizards.dialogfields;1;1;4;1;2;2;2;2;115;1;2;1235;229;2;1;0;0;2;4;1235;0;6340;4;1;
org.eclipse.team.internal.ui.synchronize.actions;0;0;6;0;1;1;1;5;994;2;4;2535;1515;0;2;1;0;5;6;2535;1;6337;5;0;
org.eclipse.help.internal.search;1;1;10;1;3;3;3;7;832;2;6;1740;1363;53;2;1;0;7;10;1740;1;6337;9;1;
org.eclipse.team.internal.ccvs.ui.merge;0;0;4;0;0;0;0;4;39;2;3;790;63;0;2;1;0;4;4;790;1;2632;3;0;
org.eclipse.team.internal.ui;0;1;10;0;4;4;4;6;172;1;6;790;538;0;1;0;0;6;10;790;0;6337;10;0;
org.eclipse.help.browser;0;1;4;0;2;2;2;2;57;1;2;1740;65;0;1;0;0;2;4;1740;0;6337;4;0;
org.eclipse.debug.ui.sourcelookup;1;0;3;1;0;0;0;3;12;2;2;4953;12;36;2;1;0;3;3;4953;1;4970;2;2;
org.eclipse.ui.internal.commands;2;0;33;1;1;1;1;32;4494;2;27;535;11414;4003;2;5;0;32;33;535;5;6338;28;3;
org.eclipse.team.internal.core;1;1;8;1;3;3;3;5;935;1;5;790;1010;293;1;0;0;5;8;790;0;6336;8;2;
org.eclipse.pde.internal.ui.editor.plugin.rows;0;2;9;0;9;7;9;0;66;0;0;5431;151;0;2;0;2;0;9;5431;2;6336;7;0;
org.eclipse.jdt.launching.sourcelookup.containers;0;0;3;0;0;0;0;3;8;2;2;4971;8;0;2;1;0;3;3;4971;1;5091;2;0;
org.eclipse.search2.internal.ui;0;4;36;0;18;14;18;18;242;2;16;3474;1646;0;4;2;4;18;36;5401;6;6140;30;0;
org.eclipse.jdt.internal.ui.filters;1;0;5;1;1;1;1;4;42;1;4;147;127;118;1;0;0;4;5;147;0;6340;5;3;
